age,monthly_income,employment_status,years_employed,credit_history_years,existing_loans,late_payments,defaulted_before,requested_amount,monthly_debt,debt_to_income,loan_to_income,credit_score,risk_level,approved
61,20658,Self-Employed,25,12,2,5,0,163404,576,0.027882660470519894,0.6591635201858844,547.1042695323846,High,0
20,37707,Employed,11,7,2,2,0,187506,3095,0.08208025035139364,0.4143925531068502,590.2868167714217,Medium,1
54,23337,Unemployed,1,3,3,5,0,88866,3031,0.12987959035008784,0.31732870548913744,500.3747268286412,High,0
24,19001,Self-Employed,10,3,0,0,0,197343,4818,0.25356560181043103,0.8654939213725593,582.6424925003946,Medium,1
38,3968,Self-Employed,11,4,2,3,0,67726,4779,1.2043850806451613,1.4223370295698925,360.1335685483871,High,0
26,28892,Employed,27,0,3,2,0,85901,4837,0.16741658590613318,0.24776466380543632,545.0441298629378,High,0
56,28619,Employed,17,16,0,1,0,146180,2972,0.10384709458751179,0.4256496267048697,671.9993710472064,Medium,1
35,3281,Employed,12,1,3,2,0,73896,3948,1.2032916793660469,1.8768668088997258,327.9929899420908,High,0
21,30420,Self-Employed,4,7,0,2,0,178625,2045,0.06722550953320185,0.4893299364453211,607.5731426692965,Medium,1
42,18360,Employed,21,6,4,2,0,45880,3936,0.21437908496732025,0.20824255628177196,561.7799564270152,Medium,1
31,4058,Employed,11,14,0,3,0,57077,2948,0.7264662395268605,1.172108592081485,502.4975357318877,High,0
26,23677,Self-Employed,1,4,1,0,0,8625,1627,0.0687164759048866,0.03035646407906407,649.9326350466697,Medium,1
43,13724,Employed,4,1,4,1,0,43237,1488,0.10842320023316818,0.26253886136209076,566.2368842902944,Medium,1
19,31404,Employed,6,6,3,0,0,6223,4145,0.13198955547064067,0.016513289177599456,633.1704559928671,Medium,1
37,32856,Employed,25,7,4,5,0,195375,4198,0.12776966155344532,0.4955335402970538,499.9356281957633,High,0
45,12200,Employed,25,6,4,5,0,70197,4463,0.3658196721311475,0.4794877049180328,467.33237704918037,High,0
64,36997,Employed,23,6,3,5,0,79693,935,0.025272319377246805,0.17950329305979765,536.1971240911424,High,0
24,28611,Employed,11,13,3,0,0,116555,3563,0.12453252245639788,0.339481900900586,649.6871832511971,Medium,1
61,38057,Employed,15,17,1,4,0,42760,3629,0.09535696455317025,0.09363148260066041,627.9392752975799,Medium,1
25,4239,Employed,22,5,3,3,0,115174,1714,0.40434064637886297,2.2641739403947474,400.62868601085154,High,0
64,3125,Self-Employed,7,3,2,4,0,132192,1802,0.57664,3.52512,300.0,High,0
52,26857,Employed,29,9,2,5,0,194038,1420,0.05287262166288118,0.6020714649191397,532.5309975053058,High,0
31,18398,Employed,27,17,1,3,0,34024,3591,0.19518425915860418,0.1541109540892126,632.3312316556148,Medium,1
34,9638,Unemployed,8,11,0,0,0,28202,3520,0.3652210002075119,0.2438438126858961,646.5428512139448,Medium,1
53,9570,Employed,14,15,0,5,0,124414,3311,0.34597701149425286,1.0833681644026472,518.4806687565308,High,0
57,6249,Employed,4,6,2,0,0,56524,2305,0.36885901744279087,0.7537739371632795,570.5104816770684,Medium,1
21,12110,Self-Employed,12,5,3,3,0,179980,1995,0.16473988439306358,1.2385081200110102,490.92072667217167,High,0
19,16605,Unemployed,4,4,1,0,0,172139,1967,0.11845829569406806,0.863891398173241,593.9515206263175,Medium,1
23,15115,Self-Employed,10,2,0,0,0,145432,3714,0.24571617598412174,0.8018083581431249,582.4055573933178,Medium,1
59,25911,Self-Employed,9,11,0,1,0,103228,4035,0.1557253676044923,0.3319954202204984,646.3932306742311,Medium,1
21,35556,Self-Employed,19,14,4,4,0,109755,4485,0.12613904826189673,0.2572350658116774,569.4292102598718,Medium,1
46,15595,Employed,12,9,2,4,0,149013,4868,0.31215133055466493,0.7962648284706637,509.76595062520033,High,0
35,4969,Self-Employed,8,19,3,4,1,20993,3458,0.6959146709599517,0.35206614342255316,430.3662708794526,High,0
43,20275,Employed,20,18,1,2,0,19620,393,0.01938347718865598,0.08064118372379778,682.8355117139334,Low,1
61,7470,Unemployed,13,15,0,1,1,128271,4778,0.6396251673360107,1.4309571619812584,442.3875502008032,High,0
51,13225,Employed,17,10,4,5,0,25193,3730,0.2820415879017013,0.15874606175173284,516.6302457466919,High,0
27,26196,Employed,14,7,2,5,0,56559,4365,0.16662849289967935,0.17992250725301573,534.2092304168575,High,0
53,16669,Employed,9,2,2,5,0,26248,4244,0.25460435539024534,0.13122162897194392,501.5741796148539,High,0
31,18577,Self-Employed,23,6,1,4,0,181924,4906,0.2640900037681003,0.8160808167806068,509.3443505409915,High,0
48,25473,Employed,6,6,0,4,0,141099,27,0.001059945824991167,0.4615965924704589,572.1770109527735,Medium,1
32,31625,Unemployed,7,13,1,1,0,68410,3491,0.11038735177865612,0.1802635046113307,660.9377075098814,Medium,1
25,18504,Self-Employed,27,1,1,0,0,9260,4261,0.23027453523562472,0.041702694912811644,614.8648940769564,Medium,1
31,27089,Employed,2,9,4,4,0,42596,1173,0.043301709180848316,0.1310371983708024,561.94156299605,Medium,1
40,39487,Self-Employed,14,18,2,5,0,14012,338,0.008559779167827386,0.029570913634023012,617.1985716818193,Medium,1
57,3302,Self-Employed,15,8,3,0,0,30823,1068,0.3234403391883707,0.7778871391076115,574.5139309509389,Medium,1
38,34463,Self-Employed,3,15,2,4,0,78851,841,0.024402982909206977,0.1906658348567062,610.6316919594929,Medium,1
33,32259,Employed,20,18,2,3,0,52027,4284,0.1328001487956849,0.13439918575694637,636.000030999101,Medium,1
62,33659,Employed,5,17,4,2,0,88794,4746,0.14100240648860632,0.21983719064737514,624.8894797825247,Medium,1
35,38840,Employed,0,8,3,4,0,30099,293,0.007543769309989701,0.06457904222451082,575.2200051493305,Medium,1
64,34890,Employed,3,15,0,3,0,106427,1857,0.0532244196044712,0.25419652240374513,643.3612783032388,Medium,1
41,16598,Unemployed,10,12,3,1,0,41992,1322,0.0796481503795638,0.2108286138892236,637.7925051210989,Medium,1
43,22508,Employed,11,9,0,3,0,124942,1647,0.07317398258397015,0.46258367395296485,598.4641016527456,Medium,1
42,16380,Self-Employed,25,19,3,1,0,122886,4898,0.299023199023199,0.6251831501831502,621.6062271062272,Medium,1
62,29984,Employed,28,13,1,4,0,147049,3620,0.12073105656350053,0.4086874110636784,585.9910285485593,Medium,1
58,11125,Employed,4,11,3,1,0,192306,4526,0.4068314606741573,1.4404943820224718,519.7505617977529,High,0
46,39059,Self-Employed,22,18,4,3,1,183448,3094,0.07921349752937863,0.39139080194918796,507.0109321795233,High,0
32,7033,Unemployed,28,6,0,2,1,170050,3491,0.49637423574576994,2.014905919711835,359.54073652779755,High,0
62,20087,Employed,20,14,2,0,0,14218,3495,0.17399312988500024,0.05898508156187252,675.5817195200876,Medium,1
18,8704,Employed,15,15,4,0,0,26788,4582,0.5264246323529411,0.2564721200980392,606.4407169117648,Medium,1
42,10848,Employed,12,7,0,2,0,25501,3801,0.35038716814159293,0.1958963249754179,591.1997603244838,Medium,1
24,24592,Employed,12,9,0,5,0,108733,88,0.0035783994795055302,0.3684565441335936,572.4631994144437,Medium,1
26,9924,Employed,16,3,2,0,0,20210,4366,0.43994357114066907,0.16970643557705226,582.0243853284966,Medium,1
41,30208,Employed,26,18,1,4,0,133476,1956,0.0647510593220339,0.368213718220339,620.1370497881356,Medium,1
18,22614,Employed,6,18,4,5,0,79225,899,0.039754134606880695,0.29194672916482417,577.7127000972848,Medium,1
61,3488,Self-Employed,7,14,2,4,0,181561,3477,0.9968463302752294,4.337753249235474,300.0,High,0
25,28923,Employed,12,13,2,3,0,68721,1744,0.0602980327075338,0.19799986170175984,615.8842443729903,Medium,1
41,38941,Employed,22,0,1,3,0,178725,4373,0.11229809198531111,0.3824696335481883,543.5760509488714,High,0
28,32165,Employed,26,15,4,5,0,177022,2253,0.07004508005596145,0.4586299808280222,549.0767915436033,High,0
34,4667,Self-Employed,15,9,2,5,1,144988,3661,0.7844439682879795,2.588886508106564,300.0,High,0
25,29213,Unemployed,29,18,1,5,0,36449,2960,0.101324752678602,0.10397482855806205,611.602539965084,Medium,1
52,7114,Employed,28,2,4,5,0,94333,1633,0.22954737138037673,1.1050159310280199,426.1533595726736,High,0
52,39321,Self-Employed,3,4,3,1,0,25782,861,0.021896696421759364,0.05464001424175377,614.0939955748837,Medium,1
50,10761,Employed,7,8,0,5,0,25243,4701,0.436855310844717,0.19548214230399902,525.8484341603939,High,0
22,34116,Employed,15,17,1,5,0,34379,1013,0.0296928127564779,0.08397574940399422,616.398317504983,Medium,1
59,36768,Employed,20,10,0,3,1,42780,3299,0.08972476066144473,0.09695931244560488,523.4154699738904,High,0
56,28426,Employed,9,15,3,4,0,166812,1506,0.05297966650249771,0.48902413283613594,579.3009920495322,Medium,1
58,20772,Self-Employed,24,1,2,3,0,119944,3205,0.1542942422491816,0.481192631105976,527.6131330637396,High,0
45,6712,Unemployed,11,11,2,0,0,24984,4803,0.7155840286054828,0.3101907032181168,580.5184743742551,Medium,1
24,4367,Employed,11,5,4,1,0,5050,977,0.22372337989466454,0.096366689565682,582.3711930386993,Medium,1
26,29200,Self-Employed,25,10,1,1,1,142662,3461,0.11852739726027398,0.40714041095890413,531.3482876712328,High,0
25,6726,Employed,4,7,1,4,1,45205,1817,0.2701457032411537,0.5600778075131331,428.9778471602736,High,0
29,26616,Employed,15,11,4,5,0,20162,3684,0.13841298467087465,0.06312618976054503,544.6028704538624,High,0
51,30723,Employed,0,1,0,3,0,54746,4058,0.13208345539172606,0.1484935281927763,570.2403736614262,Medium,1
50,37958,Employed,27,8,2,0,0,149177,2634,0.06939248643237263,0.3275045225424592,642.0226302755677,Medium,1
40,12108,Employed,8,14,2,3,0,173571,4901,0.4047737033366369,1.1946027419887677,519.7509910802775,High,0
41,15178,Employed,11,1,1,5,0,172713,4815,0.31723547239425487,0.9482639346422453,450.0359072341547,High,0
54,38643,Employed,4,0,1,5,0,16628,3666,0.09486841083766788,0.03585815456011869,526.4643014258727,High,0
52,34324,Employed,21,9,4,2,1,178104,948,0.027619158606223052,0.4324088101619858,485.7411723575341,High,0
61,20824,Self-Employed,19,1,3,3,0,43516,473,0.02271417595082597,0.1741420156229991,551.8257779485209,Medium,1
57,11927,Employed,21,11,0,4,1,92157,567,0.047539196780414184,0.6438962018948604,480.66152427265865,High,0
39,31144,Unemployed,27,7,3,3,0,137548,3432,0.11019779090675572,0.36804306875588666,559.6936809658362,Medium,1
44,34010,Employed,23,4,3,1,0,124558,4023,0.11828873860629227,0.305199451141821,587.4933842987357,Medium,1
52,25443,Self-Employed,2,0,1,0,1,45800,2258,0.08874739614039225,0.15000851576727064,520.3498015171167,High,0
18,17437,Unemployed,4,14,1,4,0,40788,3144,0.18030624534036818,0.19493032058266904,596.6674313241957,Medium,1
52,14207,Self-Employed,1,5,1,2,1,125754,4310,0.3033715773914268,0.737629337650454,444.33765045400156,High,0
54,28537,Employed,13,11,3,0,0,31240,4995,0.17503591828152923,0.0912265947132962,648.5220941234188,Medium,1
64,38757,Self-Employed,1,7,0,0,0,146994,1982,0.051139149056944555,0.3160590344969941,659.8997600433471,Medium,1
31,15040,Employed,12,12,1,1,1,69198,1096,0.07287234042553191,0.38341090425531915,548.2506648936171,High,0
20,25612,Employed,6,18,2,1,0,63739,3570,0.13938778697485554,0.20738651153105314,670.8302748711542,Medium,1
18,31441,Employed,9,0,0,1,1,17089,3390,0.10782099805985815,0.0452938307729822,514.3438503864381,High,0
22,9471,Employed,12,10,2,4,1,37600,2672,0.2821243796853553,0.3308344771759406,446.29500580720094,High,0
43,38631,Employed,15,19,0,3,0,182248,3646,0.09438016101058735,0.3931384984425289,650.0860707721778,Medium,1
31,29523,Unemployed,25,0,1,0,0,13167,2419,0.0819361176032246,0.037165938420892185,627.9377095823595,Medium,1
56,34348,Self-Employed,13,7,4,3,0,83352,4279,0.12457785023873297,0.20222429253522767,557.9172004192384,Medium,1
44,4177,Employed,10,4,1,3,0,157236,3348,0.8015322001436438,3.136940387838161,315.59971271247304,High,0
26,7760,Unemployed,9,16,3,1,0,90965,673,0.08672680412371134,0.9768578178694158,610.9813144329897,Medium,1
32,35779,Employed,5,7,3,3,0,130540,2802,0.07831409486011348,0.304042408489151,567.3597641074373,Medium,1
32,24636,Unemployed,3,9,0,0,0,36415,2369,0.09616009092385128,0.12317678735725497,676.0701818477025,Medium,1
43,19353,Employed,20,1,3,0,0,76895,4530,0.23407223686250195,0.33110714962365867,577.0449025990802,Medium,1
59,14556,Employed,0,8,1,5,0,84900,1066,0.07323440505633416,0.48605386095081066,542.0486397361913,High,0
30,30598,Self-Employed,6,2,2,2,0,99330,687,0.02245244787240996,0.27052421726910253,581.0742532191647,Medium,1
49,14563,Self-Employed,23,17,1,4,0,63650,4983,0.3421685092357344,0.3642221154066241,582.0864519673144,Medium,1
56,11234,Self-Employed,8,6,0,3,1,195053,68,0.0060530532312622395,1.4468948430360216,432.45994303008723,High,0
49,28519,Unemployed,7,14,3,4,0,5615,2103,0.07374031347522704,0.016407190527952125,600.1667309512957,Medium,1
21,29966,Self-Employed,4,19,2,4,0,181684,419,0.01398251351531736,0.5052503948919888,613.0070746846426,Medium,1
47,19173,Self-Employed,18,17,4,4,0,82937,3998,0.20852240129348562,0.36047653818738157,568.3487195535389,Medium,1
54,29987,Unemployed,9,2,2,5,0,46936,2597,0.0866041951512322,0.13043429930747769,521.7814386234035,High,0
40,16178,Self-Employed,10,13,2,4,1,165444,4338,0.26814192112745705,0.8522067004574113,431.6905674372604,High,0
56,27596,Employed,24,1,1,5,0,112812,2124,0.07696767647485142,0.34066531381359616,515.3239599942021,High,0
62,36174,Unemployed,14,13,4,0,0,72875,3892,0.10759108752142423,0.1678807062162511,652.0162271244541,Medium,1
32,7431,Employed,5,10,0,3,0,86782,439,0.05907684026375992,0.9731978648006101,574.5189072803122,Medium,1
60,30764,Self-Employed,14,15,0,5,0,66700,1286,0.041802106358080876,0.18067654834655225,609.1431543362372,Medium,1
46,24627,Unemployed,4,7,2,2,0,13109,1208,0.049051853656555816,0.04435849541830782,616.4522678361149,Medium,1
53,11906,Self-Employed,28,6,2,4,0,28758,1078,0.09054258357130858,0.20128506635309928,557.057785990257,Medium,1
30,39914,Self-Employed,18,10,3,2,0,113592,2563,0.06421305807486095,0.23715989377160895,608.0648394047201,Medium,1
49,16076,Self-Employed,21,2,4,0,0,18317,3623,0.22536700671808907,0.09495002902877996,587.2589574521025,Medium,1
24,9012,Employed,18,16,2,0,1,187495,1253,0.13903683976919662,1.7337531439562066,489.290390590324,High,0
39,10151,Unemployed,9,13,3,1,0,30622,3357,0.33070633435129543,0.2513873838373888,610.2319968476012,Medium,1
45,31211,Employed,11,5,4,4,0,11800,3209,0.10281631476082151,0.0315059861373661,540.7716830604595,High,0
19,30117,Employed,21,7,0,1,0,40539,3549,0.11784042235282399,0.11217086695221967,644.128897300528,Medium,1
59,39378,Employed,3,4,3,2,0,138672,614,0.015592462796485348,0.2934633551729392,580.5211031540455,Medium,1
62,9894,Employed,17,7,4,3,1,90163,3078,0.31109763493026077,0.7594080587561485,402.10380028299977,High,0
23,16467,Employed,15,1,3,1,0,165441,2723,0.16536102508046396,0.8372350762130322,534.9225724175624,High,0
45,34010,Self-Employed,7,14,2,0,0,21689,3490,0.10261687738900323,0.05314368323042242,684.4973537194943,Low,1
45,15289,Employed,3,11,1,4,0,86459,3543,0.23173523448230754,0.4712483920901738,558.9168683367127,Medium,1
61,26171,Employed,24,16,0,2,0,43469,4515,0.1725192006419319,0.1384133837708405,660.9928928967178,Medium,1
61,37905,Employed,22,0,2,5,0,137030,1900,0.05012531328320802,0.30125752978938575,505.9095106186519,High,0
37,23829,Employed,11,14,2,0,0,65012,4371,0.1834319526627219,0.22735602277337139,664.346804314071,Medium,1
47,37054,Self-Employed,1,13,4,5,0,65021,1712,0.04620283909969234,0.14623027653334772,560.681842716036,Medium,1
28,32734,Employed,3,19,3,3,0,186854,2329,0.07114926376244883,0.4756878678641983,617.9208162766541,Medium,1
45,10052,Employed,4,15,0,4,0,195387,3619,0.36002785515320335,1.6198020294468762,504.608535614803,High,0
42,6654,Employed,2,8,2,3,0,29642,1194,0.17944093778178538,0.37123033764151886,566.1932672076946,Medium,1
56,26486,Employed,8,0,4,3,1,84003,4906,0.18522993279468397,0.2643000075511591,411.9144076115684,High,0
50,21743,Employed,28,16,0,4,0,128714,1378,0.06337671894402797,0.4933158564442196,612.7958423400635,Medium,1
18,27489,Employed,20,12,3,4,0,5205,1312,0.047728182181963695,0.015779038888282585,593.3258758048675,Medium,1
44,11636,Self-Employed,17,4,2,5,0,97945,2915,0.2505156411137848,0.7014509568007333,477.8510656583018,High,0
30,9441,Self-Employed,10,9,2,3,0,17442,749,0.07933481622709458,0.15395614871306007,596.242453129965,Medium,1
58,27611,Employed,2,5,2,2,0,96826,300,0.010865234870160443,0.2922325643161542,596.1622179566116,Medium,1
20,15149,Unemployed,29,18,0,5,0,141763,4695,0.3099214469601954,0.7798259511078839,556.0198692983035,Medium,1
56,37566,Employed,24,12,0,4,0,43909,3982,0.10600010647926317,0.0974041242967932,611.4357397646809,Medium,1
23,24675,Employed,22,0,0,0,0,24504,4624,0.18739614994934145,0.08275582573454913,622.547112462006,Medium,1
25,8495,Unemployed,1,19,0,5,0,100698,3837,0.4516774573278399,0.9878163625662154,531.5297233666863,High,0
44,16673,Employed,8,14,4,1,0,194123,277,0.016613686799016373,0.9702463064035667,599.791579199904,Medium,1
26,14130,Unemployed,13,13,1,2,0,174870,4758,0.33673036093418257,1.0313163481953291,562.7133757961784,Medium,1
54,25668,Employed,3,7,4,5,0,185402,2558,0.09965716066697834,0.601923276712898,496.92574411718874,High,0
50,18222,Employed,28,9,2,4,0,92087,3917,0.2149599385358358,0.4211347089598654,543.9367248381078,High,0
59,26669,Employed,8,8,4,4,0,46716,2161,0.08103040983913908,0.145974727211369,551.5178671866212,Medium,1
61,37068,Self-Employed,12,16,3,2,0,183054,4675,0.12611956404445884,0.4115274630408978,620.174004532211,Medium,1
41,26253,Self-Employed,17,8,0,1,0,163516,1389,0.05290823905839333,0.519039093944819,632.5086656763036,Medium,1
32,12435,Self-Employed,14,2,3,5,0,160806,690,0.05548854041013269,1.077643747486932,458.68275030156815,High,0
49,31552,Employed,27,10,3,5,0,177817,4732,0.14997464503042596,0.46964006507775524,523.8246386916836,High,0
49,19393,Employed,9,11,2,3,0,39571,3468,0.17882741195276647,0.17003987693153888,593.3383179497757,Medium,1
41,13617,Employed,15,9,0,0,0,151461,1848,0.13571271205111257,0.9269112139237717,623.0998017184402,Medium,1
58,12852,Employed,11,16,3,4,0,98280,4918,0.38266417678182385,0.6372549019607843,535.8450046685341,High,0
29,34401,Unemployed,19,16,2,5,0,50038,4970,0.14447254440277899,0.12121256165033963,585.3905409726461,Medium,1
56,9295,Employed,4,10,0,5,1,77795,3816,0.41054330285099516,0.6974627936166398,408.8870360408822,High,0
19,38993,Self-Employed,1,3,1,5,1,50168,939,0.0240812453517298,0.10721582506261808,445.67730105403535,High,0
20,37084,Self-Employed,9,6,2,1,0,72690,3182,0.08580519900765829,0.16334537806061913,619.9026534354439,Medium,1
54,39451,Employed,0,13,4,0,0,119053,3309,0.08387620085675902,0.251478627495712,649.8461382474461,Medium,1
34,10227,Self-Employed,6,6,0,5,0,16230,2050,0.2004497897721717,0.13224797105700598,548.011146963919,High,0
19,34910,Employed,25,7,3,2,0,88301,1746,0.05001432254368376,0.210782488303256,596.3513319965625,Medium,1
19,39041,Employed,16,0,3,4,0,141974,2451,0.06278015419686996,0.3030446624488785,514.2837017494428,High,0
45,26384,Employed,15,3,4,3,0,71758,24,0.0009096422073984233,0.2266461997170002,551.2920709520922,Medium,1
40,3145,Employed,26,11,4,2,0,32050,2556,0.812718600953895,0.8492315845257021,476.5198728139905,High,0
54,19035,Employed,26,2,3,4,0,104805,60,0.0031520882584712374,0.4588258471237195,522.0921985815603,High,0
49,6040,Employed,23,12,0,1,0,74110,122,0.02019867549668874,1.0224889624724063,626.226821192053,Medium,1
50,29160,Employed,2,19,2,0,0,107033,2102,0.07208504801097394,0.3058784865112026,697.997085048011,Low,1
18,20633,Employed,13,5,4,0,0,81693,1186,0.05748073474531091,0.3299447487035332,608.3056269083507,Medium,1
36,32344,Self-Employed,9,10,4,4,0,127428,1730,0.053487509275290626,0.32831437051694284,553.8826366559485,Medium,1
19,20014,Self-Employed,21,3,4,2,0,24575,4641,0.23188767862496254,0.10232420638886112,551.0340261816729,Medium,1
61,17996,Employed,6,19,1,3,0,195012,4089,0.22721715936874862,0.903034007557235,593.5519004223161,Medium,1
43,14695,Employed,25,15,0,1,1,45244,2472,0.16822048315753657,0.2565725303391176,569.4191902007485,Medium,0
49,5852,Self-Employed,16,6,0,4,1,19962,2965,0.5066643882433356,0.2842617908407382,422.14456596035546,High,0
23,19014,Employed,29,10,0,1,0,105695,2277,0.11975386557273587,0.4632332316538691,637.8355422320395,Medium,1
49,30042,Self-Employed,5,0,0,0,0,95388,4087,0.13604287331069836,0.2645962319419479,617.7990812861993,Medium,1
21,36755,Employed,22,6,0,5,0,82332,2964,0.08064208951163107,0.1866684804788464,559.1228404298735,Medium,1
28,26711,Employed,21,11,3,5,0,160522,1310,0.049043465239040095,0.5007986722074551,539.0668638388678,High,0
34,29122,Employed,3,6,4,3,0,189566,154,0.0052880983448938945,0.5424478630130715,546.8185564178284,High,0
55,12160,Employed,16,6,3,1,1,132386,2212,0.1819078947368421,0.907250548245614,453.73601973684214,High,0
41,30213,Self-Employed,26,9,1,4,0,50037,3253,0.10766888425512197,0.13801178300731473,583.7990269089464,Medium,1
22,10421,Employed,8,15,2,3,0,117666,1262,0.12110162172536225,0.9409365703867191,574.0116111697533,Medium,1
51,24400,Self-Employed,3,7,4,2,0,132048,1362,0.05581967213114754,0.45098360655737707,571.2426229508196,Medium,1
23,36537,Unemployed,6,8,1,5,0,88040,937,0.02564523633576922,0.20080101449672022,564.8745107699045,Medium,1
39,20727,Employed,22,8,3,4,0,116264,511,0.02465383316447146,0.4674418230649234,548.9950306363679,High,0
28,7358,Self-Employed,1,1,2,1,0,166113,186,0.025278608317477577,1.8813196520793694,499.08738787714054,High,0
33,31482,Employed,16,12,1,3,0,15715,1845,0.058604917095483135,0.041597844270800245,630.471539292294,Medium,1
50,35117,Employed,23,12,2,4,0,157875,1702,0.048466554660136114,0.37464048751317025,581.7055841899935,Medium,1
26,26164,Self-Employed,7,3,1,3,0,66726,390,0.014905977679253937,0.21252484329613208,580.4597920807216,Medium,1
23,34910,Employed,22,11,3,3,0,137980,654,0.018733887138355772,0.32937076291416023,592.9896877685477,Medium,1
33,35496,Employed,29,16,2,3,1,123208,4271,0.12032341672301104,0.28925324919239725,518.2059950416949,High,0
46,32371,Employed,14,1,1,1,0,173147,2821,0.08714590219641037,0.44573589529723107,587.7983380185968,Medium,1
20,20625,Employed,14,12,3,4,1,58648,763,0.03699393939393939,0.23696161616161615,481.3430303030303,High,0
37,36893,Unemployed,7,17,4,0,0,26134,3400,0.09215840403328544,0.05903107183837946,680.3991272057029,Low,1
53,13793,Unemployed,15,14,3,0,0,61143,4806,0.3484376132820996,0.36940839556296673,626.0229826723701,Medium,1
36,34007,Self-Employed,18,7,3,1,0,74123,3267,0.09606845649425118,0.18163662383234824,612.573587790749,Medium,1
43,28766,Self-Employed,10,14,4,1,0,181225,1085,0.037718139470207884,0.5249976824491877,623.9739623166238,Medium,1
20,15323,Employed,1,0,3,5,1,138485,1929,0.12588918619069372,0.7531434227414127,359.704692292632,High,0
36,10843,Employed,22,19,4,3,1,158627,4376,0.4035783454763442,1.2191198622767376,423.4234068062344,High,0
